Basic_Stats_score,Inferential_Stats_score,Linear_Reg_score,Logistic_Reg_score,DT_score,NB_score,SVM_score,KM_Clustering_score
8,4,9,9,6,6,8,9
6,5,2,2,3,4,4,3
5,3,4,4,4,6,5,4
8,0,3,3,6,5,4,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,4
0,0,0,0,0,0,0,0
6,0,3,3,5,5,3,4
0,0,0,0,0,0,0,0
6,4,5,3,5,7,5,3
9,7,8,8,5,6,8,8
8,5,6,4,5,8,4,3
7,5,3,5,6,6,3,5
0,3,2,2,6,5,3,2
5,3,2,1,4,4,4,3
4,3,3,2,4,6,3,2
6,3,3,2,5,5,4,3
6,4,4,4,5,6,5,4
0,0,0,0,0,0,0,0
6,1,3,4,4,6,4,3
8,0,6,6,7,6,5,7
0,0,0,0,0,0,4,3
0,0,4,2,5,6,2,3
3,2,6,3,8,8,4,3
0,0,4,5,4,5,3,5
9,0,9,9,7,8,9,9
6,0,4,1,5,6,3,2
